"State","costIndex","groceryCost","housingCost","utilitiesCost","transportationCost","miscCost"
"Mississippi","86.1000","93.1000","66.7000","91.8000","89.9000","92"
"Arkansas","86.9000","90.7000","75.2000","92.7000","86.1000","95.7000"
"Oklahoma","87","94.1000","70.1000","95.8000","91.3000","92.5000"
"Missouri","87.1000","97.6000","71.6000","97.5000","93.9000","94.3000"
"New Mexico","87.5000","99.7000","80.4000","89.9000","93","90.8000"
"Tennessee","88.7000","94.5000","82.6000","92.2000","87.7000","94.4000"
"Michigan","88.9000","92","76","99.7000","104.3000","95.5000"
"Kansas","89","92.8000","71.8000","99.4000","94.8000","92.3000"
"Georgia","89.2000","104.2000","71.3000","91.3000","97","96.2000"
"Wyoming","89.3000","104.6000","87.7000","87.2000","84.8000","102.6000"
"Alabama","89.3000","95.1000","70.2000","103.3000","92.3000","97.5000"
"Indiana","90","97.8000","76.5000","97.5000","99.4000","95.7000"
"Iowa","90.1000","92.3000","78.3000","97","99.1000","96.7000"
"Ohio","90.8000","98.1000","78","90.6000","102.2000","100"
"Nebraska","90.8000","97.8000","83.7000","89.5000","96.1000","96.5000"
"Kentucky","90.9000","91","81.6000","97.3000","97.9000","102.6000"
"West Virginia","91.1000","95.4000","81.7000","90.3000","85.4000","101.5000"
"Texas","91.5000","89.9000","85.9000","102.3000","92.2000","95"
"Idaho","92.3000","167.7000","90.7000","82.6000","103.4000","97.7000"
"Louisiana","93.9000","97.7000","86.8000","87.5000","96.3960","97"
"Illinois","94.5000","92.7000","87","96.8000","107.7000","98.1000"
"North Carolina","94.9000","98.4000","84.1000","99.3000","94","101.1000"
"South Carolina","95.9000","102.1000","84.9000","106.3000","91.5000","100.2000"
"Arizona","97","99.4000","102","112.3000","105.9000","97.9000"
"Wisconsin","97.3000","97.4000","88.7000","98.2000","100.3000","97.9000"
"Florida","97.9000","115.8000","96.8000","101.1000","99.1000","98.3000"
"Utah","98.4000","98.3000","93.9000","92.7000","103.1000","99.7000"
"North Dakota","98.8000","103.5000","91.5000","90.5000","105.3000","96.5000"
"South Dakota","99.8000","98.7000","101","87.9000","95.1000","95.4000"
"Virginia","100.7000","97.1000","112.1000","99","91.9000","98.8000"
"Minnesota","101.6000","105.5000","89.2000","98.7000","100.6000","108.4000"
"Pennsylvania","101.7000","105.2000","99.4000","109.5000","109.8000","99.4000"
"Colorado","105.6000","99.2000","119.6000","87.6000","101.5000","101.7000"
"Montana","106.9000","101.1000","102","86.2000","94.2000","100.1000"
"Delaware","108.1000","119.9000","100.6000","94.6000","103.6000","114.7000"
"Nevada","108.5000","106.5000","119.2000","93.3000","120.3000","103.3000"
"New Hampshire","109.7000","100.4000","110.3000","114","98.2000","109.7000"
"Washington","110.7000","108.2000","118.8000","90.1000","116.6000","109.9000"
"Vermont","114.5000","112.2000","137.2000","118.4000","112.4000","103.3000"
"Maine","117.5000","104.9000","134.2000","107.6000","101.5000","113"
"Rhode Island","119.4000","108","132.3000","127","106.1000","116.7000"
"New Jersey","125.1000","108.2000","149.3000","98.3000","107.2000","108.5000"
"Connecticut","127.7000","107.7000","142.2000","132.9000","112.6000","121.6000"
"Maryland","129.7000","114.6000","180.2000","108.6000","107.1000","108.9000"
"Alaska","129.9000","132.4000","134.3000","159.5000","117.8000","112.8000"
"Massachusetts","131.6000","114.5000","173.6000","108.9000","110.1000","121.4000"
"Oregon","134.2000","113.8000","184.8000","87.5000","129.4000","120"
"New York","139.1000","113.4000","197.5000","102.8000","105","112"
"California","151.7000","117.3000","196.5000","122.2000","132.4000","110.8000"
"Hawaii","192.9000","99","336.2000","189.5000","138.8000","125.3000"